host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,summary_sent,description_sent,property_type_Bed & Breakfast,property_type_Boat,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Dorm,property_type_House,property_type_Loft,property_type_Other,property_type_Tent,property_type_Townhouse,property_type_Treehouse,property_type_Yurt,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,48.0,100.0,25.0,1,5.0,3,28,12,309,297,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.3666666666666667,0.27451298701298704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94.89738919247117,99.96714848883049,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,85.0,100.0,50.0,1,0.0,1,1125,3,53,40,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.14166666666666666,0.2509178743961353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,5.0,1.0,1.0,1,3.0,1.0,1.0,90.0,100.0,50.0,1,10.0,2,30,30,365,79,9.0,9.0,10.0,10.0,9.0,9.0,0,1,0.3020833333333333,0.25181323820212714,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,99.0,100.0,50.0,1,15.0,3,29,20,57,240,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0.4114285714285715,0.35081845238095244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,2.0,5.0,165.0,400.0,95.0,2,5.0,3,365,0,180,26,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.3125,0.2922380952380952,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,2.0,2.0,125.0,400.0,85.0,2,5.0,2,365,1,262,14,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.3458333333333334,0.29024577572964666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,6.0,1.0,0.0,1,1.0,1.0,1.0,95.0,100.0,50.0,2,0.0,2,180,30,307,21,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0.4,0.21666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94.0,100.0,0.0,34.0,1.0,1.0,1,1.0,1.0,2.0,107.0,100.0,96.0,1,0.0,2,365,22,151,26,9.0,9.0,10.0,9.0,9.0,8.0,0,1,0.2227272727272727,0.23668350168350166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94.0,100.0,0.0,34.0,1.0,1.0,1,1.0,1.0,2.0,145.0,100.0,96.0,1,0.0,2,365,16,137,17,9.0,10.0,9.0,10.0,10.0,9.0,1,1,0.3059027777777778,0.29906355218855224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,89.0,100.0,10.0,2,0.0,2,14,10,341,244,10.0,9.0,10.0,10.0,10.0,10.0,1,0,0.04177489177489178,0.058638331365604104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,79.0,100.0,10.0,1,0.0,2,14,15,334,44,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0.2401298701298701,0.33099296536796535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100.0,99.96714848883049,0.0,1.0,1.0,1.0,1,1.0,1.0,3.0,119.0,300.0,80.0,2,10.0,3,730,26,340,7,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.4222222222222223,0.4208333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,99.96714848883049,0.0,1.0,0.0,0.0,1,1.0,1.0,1.0,165.0,200.0,75.0,3,30.0,3,90,30,317,6,10.0,10.0,10.0,9.0,10.0,9.0,0,0,0.11363636363636365,0.11363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94.0,100.0,0.0,34.0,1.0,1.0,1,1.0,2.0,3.0,175.0,100.0,107.0,6,0.0,2,365,20,144,29,9.0,10.0,10.0,10.0,9.0,9.0,1,1,0.4666666666666666,0.28489583333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
